rank,entry,current_glyph,primary_reference,reference_type,identity_geometry,source_state,rights_or_design_caution,implementation_readiness
1,AirScreen,broadcast_A,https://play.google.com/store/apps/details?id=com.ionitech.airscreen,official Play listing,"inspect current launcher foreground; casting/screen geometry must match the 2026 app rather than a generic cast glyph",current listing and official site identified,"proprietary mark; redraw only identifying geometry",needs visual extraction
2,Aerial Views,tool_A,https://github.com/theothernt/AerialViews/tree/0fbd8249dd0c73e79ffa78b98fb19273774eecf1/app/src/main,developer source at pinned commit,"low sun emerging behind two overlapping mountain/dune silhouettes",source asset inspected,"preserve asymmetric mountain layers; avoid Apple's aerial identity",ready for Core-style redraw
3,ARTE,broadcast_A,https://www.arte.tv/sites/corporate/en/visual-identity/,official visual-identity kit,"compressed uppercase ARTE wordmark with characteristic angled/anamorphic stance",official current source,"ARTE explicitly requires prior authorization for logo use; rights decision needed before artwork",blocked on rights decision
4,Francetv,app_F,https://www.france.tv/,official service,"current france.tv compact wordmark/dot system; verify app-specific foreground against Play listing",official service identified,"do not fall back to an invented F tile",needs official app asset comparison
5,ITV Hub → ITVX,itv_hub,https://play.google.com/store/apps/details?id=air.ITVMobilePlayer,official Play listing,"current ITVX custom four-letter wordmark; replace obsolete ITV Hub identity",current listing,"confirm TV activity and icon variant before changing",mapping plus visual confirmation needed
6,Angel Studios,broadcast_A,https://play.google.com/store/apps/details?id=com.angel.tv,official Play listing,"verify current Angel Studios wing/angel emblem for catalog package com.angel.tv",exact catalog package pinned,"distinguish from The Chosen and Angel Studios mobile variants",needs current asset capture
7,AnyDesk,tool_A,https://anydesk.com,official site plus Simple Icons source,"two opposed/linked red diamond-chevron forms",stable source corroborated at Simple Icons commit 4ba19240849175ab4b855a732ab98c0f87cfb714,"retain negative gap and unequal overlap; do not use plain A",ready for Core-style redraw
8,CANAL+,broadcast_C,https://www.canalplus.com/,official service,"bold CANAL+ compact wordmark in a rectangular field; no independent C emblem established",official service identified,"wordmark-only treatment may be preferable to invented symbol",needs 10-foot wordmark test
9,Bloomberg TV+,broadcast_B,https://play.google.com/store/apps/details?id=com.bloomberg.btva,official Play listing,"Bloomberg wordmark is primary; establish whether TV+ has a legitimate compact B/app foreground",exact catalog package pinned,"avoid invented B if app has no standalone emblem",blocked on package/current asset
10,DW,broadcast_D,https://www.dw.com/,official broadcaster,"two adjacent outlined circles containing D and W",stable public broadcaster identity,"simplify internal letters only if still legible at card size",ready after official asset capture
11,Euronews,sport_E,https://www.euronews.com/,official broadcaster,"current identity must be checked; historic mark is a solid circle/sun above or beside lowercase euronews",official site identified,"also correct erroneous sport category",needs current identity capture
12,Crossy Road,gaming_C,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad,official Play listing,"front-facing pixel chicken head/body silhouette with square comb/beak cues",official app lead,"character artwork must be reduced to original simple geometry, not traced",ready after package match check
13,Blokada,vpn_B,https://github.com/blokadaorg,official organization source,"inspect current product-specific hexagon/shield/flame foreground; Blokada 5/6 variants differ",official source family identified,"choose icon for the exact mapped package/version",blocked on package/product variant
14,Private Internet Access,vpn_P,https://www.privateinternetaccess.com,official site plus Simple Icons source,"robot/lock-head face with two circular eyes and antenna/lock contour",stable source corroborated at Simple Icons commit 4ba19240849175ab4b855a732ab98c0f87cfb714,"preserve robot-vs-padlock reading",ready for Core-style redraw
15,Mpv,app_M,https://github.com/mpv-player/mpv/blob/da400ed3a9b54408d1b5112855a7281380a1ef52/etc/mpv.svg,official source pinned by Simple Icons,"stepped concentric circular mechanism terminating in a right-facing play triangle",pinned vector source,"respect upstream license/attribution requirements; redraw rather than paste",ready for Core-style redraw
16,F Droid,broadcast_F,https://f-droid.org,official project plus Simple Icons source,"Android-like robot head with two antennae emerging from a repository/package body",stable source; Simple Icons records CC-BY-SA-3.0,"license attribution/share-alike review; correct erroneous broadcast category",ready after license decision
17,Audiomack,music_A,https://styleguide.audiomack.com,official style guide,"custom waveform/bars forming Audiomack's compact audio mark",official style guide; Simple Icons corroborated,"use the icon mark, not a generic A or equalizer",ready after asset capture
18,ATRESplayer,broadcast_A,https://www.atresplayer.com/,official service,"verify current circular/radiating play emblem and whether app foreground differs by region",official service identified,"do not confuse Atresmedia corporate mark with ATRESplayer app",needs app-specific capture
19,HGTV,broadcast_H,https://www.hgtv.com/,official network,"simple roof peak/house line directly above HGTV letterforms",stable public identity,"roof alone may collide with generic home; compact HGTV letters may be required",ready for 10-foot wordmark test
20,Kinopoisk,broadcast_K,https://www.kinopoisk.ru/,official service,"verify current faceted K/ribbon app mark and region-specific foreground",official service identified,"gradient/color does identity work; monochrome silhouette must be tested",needs current app capture
21,Rutube,broadcast_R,https://rutube.ru/,official service,"verify current rounded R/play or wordmark treatment against exact Android TV package",official service identified,"avoid generic R tile and distinguish from Roku-like marks",needs package-specific capture
22,Timvision,broadcast_T,https://www.timvision.it/,official service,"TIM's horizontal red bar motif combined with TIMVISION wordmark/app foreground",official service identified,"compact bars may identify TIM but not TIMVISION alone",needs current app capture
